Price,PE,DE,PG,PS,PB
171.78,24.94,2.84,1.84,3.98,17.49
173.26,21.66,1.74,1.84,3.98,16.93
179.02,24.94,2.84,3.48,3.98,17.49
173.82,24.70,2.84,1.84,2.81,16.75
178.06,22.27,2.11,1.94,2.56,18.46
177.86,25.06,1.82,3.34,2.35,18.56
173.65,24.94,4.21,1.84,3.98,17.22
175.77,22.18,2.62,0.11,3.98,19.09
174.84,24.94,2.84,1.84,3.98,17.49
179.32,24.94,2.84,1.84,5.70,17.49
178.83,24.94,2.84,0.47,2.95,17.49
168.38,23.62,1.48,3.56,3.50,17.49
178.34,24.94,2.81,1.84,5.72,17.80
163.75,24.94,2.36,3.38,3.81,17.49
166.33,28.22,2.84,1.64,5.07,17.49
164.87,19.40,1.50,2.37,5.53,17.49
171.78,24.94,0.88,0.16,3.98,16.36
171.78,22.07,4.15,1.84,3.98,17.49
171.78,24.94,2.84,2.10,4.07,16.06
166.56,21.98,4.67,1.84,3.39,18.55
163.77,23.78,4.43,3.79,3.98,17.84
181.24,29.98,2.43,1.83,3.08,17.24
171.78,23.62,4.37,2.71,4.69,17.49
171.78,25.98,1.22,0.96,1.98,19.28
171.78,24.94,2.84,0.23,2.41,17.49
166.66,25.70,2.84,1.84,3.09,18.80
171.78,24.09,4.10,0.44,2.80,17.63
171.78,22.79,1.47,0.24,1.98,18.41
169.25,21.49,4.00,1.84,5.49,17.49
170.37,24.94,2.84,1.54,3.98,17.49
171.78,27.07,0.88,1.84,3.98,15.69
181.68,24.94,3.92,3.57,5.31,16.87
178.09,26.08,3.40,1.21,3.98,17.23
164.53,22.34,3.77,0.12,3.78,18.17
171.78,22.90,2.84,1.84,2.18,17.49
176.68,30.25,2.84,1.93,3.83,17.65
171.78,28.73,3.74,1.57,3.98,18.35
171.78,21.09,4.38,1.90,3.61,17.81
180.48,24.70,2.84,0.20,4.36,17.49
177.82,24.94,1.73,0.62,3.21,15.83
171.78,23.38,2.84,0.13,2.58,15.85
166.48,24.94,1.86,1.84,4.91,17.49
170.68,24.94,2.84,1.84,3.98,17.49
178.15,28.00,1.54,1.32,4.75,16.63
180.93,19.05,2.84,1.90,3.98,16.59
163.51,19.08,2.84,3.69,2.37,16.59
171.78,22.41,4.76,3.61,5.52,17.49
169.61,22.73,1.07,1.84,2.80,15.61
173.44,23.62,3.79,2.93,4.62,18.83
