Price,PE,DE,PG,PS,PB
43.00,33.23,4.31,3.29,6.43,11.23
45.67,37.54,5.35,3.29,6.53,11.23
45.85,35.54,4.31,4.82,7.57,10.71
44.66,32.77,2.56,3.85,6.44,10.43
45.64,34.74,3.94,3.29,6.19,12.00
45.16,28.06,4.31,3.20,6.43,10.66
44.62,33.23,4.72,4.34,6.43,9.61
50.03,30.34,4.73,3.85,6.87,11.23
43.29,37.74,4.31,2.41,6.43,11.23
46.29,35.67,4.31,4.56,6.88,10.64
50.35,30.73,4.31,4.45,6.74,11.23
46.29,30.67,5.53,2.85,6.43,12.31
45.31,31.59,6.06,1.64,7.27,12.35
45.25,30.49,2.81,3.34,4.45,11.08
48.84,38.12,4.31,3.29,7.12,11.23
46.86,34.31,4.31,3.29,7.94,11.81
43.76,31.50,4.31,3.29,7.39,10.03
44.98,35.40,2.84,3.29,5.13,11.23
48.60,33.23,4.31,4.97,6.43,11.23
44.50,35.03,4.31,1.94,7.11,9.49
49.32,32.74,2.59,1.42,5.09,12.02
50.28,33.23,4.11,3.29,8.20,9.97
47.33,36.48,5.59,1.66,6.43,11.23
46.05,34.88,5.48,1.38,6.43,11.23
44.59,32.34,5.17,4.65,6.43,11.23
45.39,35.82,5.66,1.44,7.97,11.23
50.93,35.13,2.82,4.94,7.12,11.23
43.43,31.07,4.31,3.29,6.43,11.23
48.55,33.12,2.76,4.96,5.67,9.94
46.56,35.53,4.31,3.34,7.66,10.87
44.73,30.01,3.11,3.29,6.43,12.53
47.51,33.23,4.31,2.42,7.85,11.23
48.34,27.96,4.10,3.60,5.59,11.23
49.33,30.89,2.45,3.29,6.43,11.23
45.59,33.23,5.02,3.29,6.43,11.27
46.75,38.17,2.59,3.29,5.21,12.62
50.55,38.05,6.11,3.29,6.43,9.59
44.63,35.47,5.46,3.29,4.45,10.54
46.30,33.23,4.31,3.29,6.43,11.23
45.49,31.50,5.36,2.19,5.30,10.40
49.75,33.14,4.88,4.63,4.71,12.16
45.00,37.92,5.52,2.12,7.41,11.23
48.20,33.86,3.32,3.17,6.43,10.77
43.40,34.73,2.55,4.78,5.52,11.23
48.47,33.23,3.36,3.79,6.82,10.89
45.20,31.03,2.61,3.42,5.71,11.18
44.01,30.72,3.06,3.32,4.60,11.23
47.29,31.47,2.56,5.16,6.43,9.53
45.33,33.24,5.64,5.27,6.43,13.00
