Price,PE,DE,PG,PS,PB
29.00,9.89,0.89,0.34,2.43,4.65
29.33,6.79,1.81,0.69,2.43,5.18
32.50,11.56,0.70,0.34,4.24,4.65
34.08,9.89,1.97,1.58,2.43,4.41
33.21,8.11,0.02,1.00,2.22,2.79
30.60,8.49,0.89,0.16,1.79,4.65
33.25,10.92,1.80,2.04,0.53,3.45
33.78,9.42,0.67,0.32,2.96,4.65
31.70,9.01,0.89,0.34,2.43,4.56
30.67,9.89,0.89,1.61,1.60,6.64
34.02,9.20,0.89,0.24,0.98,2.69
34.64,8.97,2.35,0.34,1.15,6.19
34.15,9.89,0.84,2.07,2.43,3.35
32.94,10.37,0.76,1.25,3.49,4.65
30.68,10.56,0.11,0.52,2.43,6.01
29.62,7.45,0.89,0.57,2.43,2.70
29.13,10.18,0.68,2.00,3.62,3.38
33.70,6.38,0.30,0.17,0.81,6.46
33.15,9.89,0.89,1.10,4.26,3.30
33.26,11.18,0.89,0.35,2.56,4.65
29.47,10.65,0.89,0.34,2.70,4.65
32.20,9.89,0.89,0.40,2.77,3.41
34.82,10.45,0.10,1.25,2.86,4.65
33.36,11.53,0.33,0.88,0.97,4.21
33.16,8.76,0.60,1.81,2.15,4.45
29.11,9.82,2.05,0.34,4.29,4.65
34.04,8.10,2.26,0.34,2.43,4.65
30.85,11.44,0.09,0.34,2.01,6.09
32.36,11.74,0.08,2.29,2.69,4.85
33.58,11.11,0.89,1.22,1.75,4.44
30.72,10.70,0.89,0.93,2.46,4.29
34.88,9.89,0.89,1.37,2.43,3.39
31.58,9.77,2.39,0.34,4.20,6.54
31.75,8.43,1.25,2.06,2.43,3.70
29.59,12.55,2.25,0.83,3.76,6.13
30.79,11.61,0.89,1.39,2.43,4.37
33.07,7.71,0.89,0.60,2.77,4.65
29.87,8.71,0.91,1.87,2.22,3.25
34.89,12.74,0.73,0.68,3.58,5.99
31.63,9.89,2.65,0.34,2.43,6.33
32.48,11.10,0.28,1.04,2.43,3.70
30.54,11.30,0.89,0.89,2.49,4.91
29.06,11.85,0.89,1.46,2.43,4.65
29.81,9.89,0.89,2.17,2.04,4.65
30.60,11.66,1.61,0.34,2.59,4.65
31.88,11.56,2.30,0.83,2.90,3.87
33.59,8.75,0.89,1.79,4.16,6.14
33.05,9.75,0.89,0.34,1.34,6.26
33.84,9.03,0.89,1.20,3.16,4.65
