Price,PE,DE,PG,PS,PB
63.67,33.43,4.23,1.47,7.99,12.32
69.48,35.11,4.90,1.47,7.99,13.41
67.78,33.43,1.21,1.06,7.38,12.77
63.92,29.29,3.92,1.81,6.21,12.32
68.51,32.40,2.91,2.56,7.66,12.32
66.35,33.43,3.10,1.47,7.99,13.03
66.22,32.68,1.45,1.04,7.99,13.71
65.76,27.90,2.84,0.84,7.99,11.89
66.00,33.43,1.32,1.47,7.06,12.32
68.15,33.43,3.55,0.44,7.99,10.79
64.52,31.06,4.50,2.39,7.99,13.30
66.99,33.43,3.22,1.47,6.06,12.77
65.51,31.70,2.84,0.59,7.99,10.85
67.87,32.51,1.01,1.52,7.28,13.77
64.70,35.03,1.02,3.22,8.93,13.20
67.79,31.55,2.84,1.38,7.99,13.35
69.31,31.83,3.40,2.52,9.52,11.12
67.13,33.16,2.84,0.47,8.83,11.43
64.89,33.43,3.09,1.47,7.53,12.32
66.65,33.43,1.53,1.89,9.93,12.32
66.27,31.02,2.84,1.14,7.99,12.32
67.81,27.93,2.47,2.66,7.99,12.84
64.73,33.43,3.24,3.42,7.80,13.53
68.54,28.78,1.43,0.33,7.99,12.32
66.58,31.33,2.84,2.35,9.36,12.49
68.95,33.07,2.84,0.57,6.51,12.32
64.27,35.08,2.84,1.47,6.67,13.39
64.42,33.18,4.57,3.39,8.48,12.52
63.85,34.09,4.80,3.19,7.99,12.32
66.20,33.54,2.84,1.47,7.99,13.64
67.84,32.01,0.98,1.47,9.65,12.32
65.64,38.68,2.84,0.88,7.92,13.84
66.47,36.61,4.63,0.64,7.35,12.51
66.26,34.23,4.82,0.22,7.99,12.07
67.95,33.43,4.20,3.43,7.17,12.32
66.28,33.53,1.00,1.47,7.86,14.24
66.64,33.43,4.35,1.03,7.50,12.00
67.08,38.04,2.84,1.47,7.99,11.08
68.75,35.85,2.39,2.85,7.99,12.32
67.30,31.10,2.84,0.26,8.33,12.96
67.35,36.09,2.84,0.55,7.04,12.65
64.45,34.34,4.44,1.47,7.43,10.53
65.71,34.47,3.78,1.47,7.99,12.27
66.76,33.62,4.64,0.72,7.22,12.91
63.89,29.66,2.84,1.47,9.98,13.37
64.80,33.19,2.52,0.49,7.60,12.73
68.85,34.59,3.79,1.47,7.99,14.14
65.96,32.49,3.82,1.47,7.99,13.35
64.53,29.33,0.94,0.59,7.57,10.50
