Price,PE,DE,PG,PS,PB
14.00,4.68,0.17,2.11,9.83,6.54
14.24,4.61,0.26,0.41,9.83,7.51
15.88,4.68,0.33,0.69,7.89,6.69
15.28,5.08,0.95,3.80,9.04,8.29
15.11,4.68,1.09,2.11,9.83,7.59
15.84,2.91,0.17,1.38,11.47,5.10
15.72,4.17,0.64,2.11,10.20,7.05
15.17,6.08,0.06,2.69,11.74,7.71
15.25,4.57,0.86,1.91,9.50,5.69
14.15,4.95,0.45,1.89,9.83,8.25
14.42,5.73,0.44,2.11,11.28,7.22
15.42,6.46,0.42,2.11,9.83,5.82
14.45,0.94,0.17,0.42,11.44,8.35
15.07,4.68,0.84,2.11,11.64,5.24
15.84,4.24,0.31,2.11,10.31,7.91
15.54,2.93,0.59,2.11,9.83,6.87
15.01,4.68,0.17,0.55,9.80,6.54
14.29,3.29,0.17,2.11,8.77,4.63
15.83,3.68,0.89,2.11,11.01,6.54
15.95,4.68,0.49,2.11,8.96,6.10
15.14,4.35,0.37,0.30,9.83,6.54
14.42,8.15,0.17,2.11,10.76,6.27
15.51,4.68,0.17,2.11,10.77,8.41
15.87,5.54,0.17,3.38,9.83,5.05
14.01,4.68,0.71,0.39,8.62,6.54
15.42,5.88,0.17,3.14,10.85,4.70
14.02,4.68,0.17,2.11,7.89,7.56
14.05,2.48,0.95,1.71,9.39,6.54
14.39,6.08,0.26,2.11,7.84,6.09
14.89,2.61,0.61,1.12,11.72,6.54
15.04,4.68,0.36,4.02,11.29,6.12
14.09,4.68,0.17,0.11,9.83,6.11
14.11,5.39,0.18,2.11,7.96,5.04
14.93,7.87,0.17,3.04,9.27,6.54
14.56,4.68,0.75,2.44,9.83,6.54
15.46,3.47,0.61,2.11,9.55,5.75
14.03,4.68,0.17,0.17,9.45,7.01
15.11,6.21,0.71,2.11,11.80,5.80
14.58,1.74,0.84,2.28,10.84,5.42
15.35,2.20,0.24,2.11,10.06,4.80
15.04,4.68,0.28,1.99,11.03,6.54
14.97,3.19,0.70,2.11,9.83,6.89
15.33,4.12,0.17,2.82,9.83,8.40
15.15,4.05,0.48,3.31,10.33,6.54
15.60,4.68,0.17,2.11,8.04,7.29
15.67,4.68,0.17,2.11,11.78,5.57
14.58,1.03,0.24,1.33,9.83,8.41
15.32,3.49,0.51,2.11,10.38,8.34
15.02,7.81,0.17,3.93,9.83,6.54
