Price,PE,DE,PG,PS,PB
94.23,18.71,5.23,2.24,9.83,14.74
97.76,18.71,4.30,3.12,8.88,14.74
104.21,18.71,6.32,3.94,9.37,14.74
96.83,17.64,5.23,2.24,9.83,14.79
97.63,21.12,6.92,3.74,10.03,14.95
100.51,16.24,5.77,1.92,11.28,14.74
103.69,19.01,5.23,1.78,9.83,13.60
96.95,21.59,5.42,0.99,9.83,13.25
104.65,19.33,3.24,2.87,10.90,14.74
101.35,22.54,5.23,0.31,10.53,15.85
94.55,18.71,4.61,2.00,8.94,13.00
98.67,20.67,7.17,1.51,9.83,16.29
95.96,16.40,5.23,2.24,9.83,13.93
101.69,18.22,3.60,2.24,9.94,13.71
102.00,16.70,6.46,2.24,9.83,13.37
103.05,18.28,5.23,2.24,9.53,14.74
95.24,18.46,4.83,3.09,10.18,12.89
95.58,15.16,5.23,0.94,11.18,14.91
97.59,20.55,5.47,2.24,9.83,15.34
95.99,21.03,4.32,2.37,10.11,14.74
96.14,24.58,4.13,2.24,10.84,14.74
104.33,21.39,6.47,4.11,9.83,13.03
97.91,17.16,4.51,2.24,9.83,14.74
97.84,19.52,5.05,2.24,9.83,14.74
100.16,14.13,5.95,2.57,9.83,13.27
99.06,18.33,5.23,2.92,9.83,16.43
97.26,17.64,7.08,3.18,8.24,14.74
101.39,18.79,4.49,2.24,9.83,13.47
96.19,21.27,3.77,2.49,9.18,14.74
94.30,23.81,5.23,2.18,7.95,13.56
102.48,23.63,4.61,3.93,8.61,14.74
100.56,16.93,6.45,2.24,9.83,14.51
101.92,24.45,3.54,2.24,9.83,16.64
95.95,18.71,5.23,3.92,8.28,13.88
98.80,19.37,6.94,2.24,10.17,16.29
102.24,16.74,5.23,0.79,11.43,13.52
102.67,23.43,5.16,1.04,8.73,14.74
97.26,19.72,3.80,0.71,10.84,14.97
98.90,18.71,5.23,2.82,11.29,14.74
94.23,17.83,3.39,2.24,10.05,14.74
95.59,16.92,5.23,3.35,8.05,12.77
102.22,23.24,4.75,2.21,9.83,15.00
103.97,23.84,5.23,2.24,9.93,15.36
95.07,18.71,5.25,3.84,8.73,14.74
102.55,18.71,6.68,1.48,9.31,14.16
94.92,18.71,6.88,2.24,8.79,14.74
102.13,15.90,5.71,3.42,11.08,14.78
96.53,18.71,5.17,2.24,8.94,12.94
96.82,20.90,6.94,3.02,8.18,14.30
